RAICRS,DEICRS,r0,S/N,F90b,b_F90b,B_F90b,HRhs
230.7576590,27.6032895,5.643,2.667,1.064242693794e-14,6.429799608339e-15,1.463333703967e-14,0.12867
230.4827277,27.7823775,4.131,2.444,8.393784535567e-15,5.03627072134e-15,1.175129834979e-14,-0.38601
230.7326231,27.8168855,2.133,3.412,1.232705475246e-14,8.713952497428e-15,1.594015700749e-14,0.39225
230.6299155,27.7059669,0.719,5.901,1.542918276561e-14,1.336137265204e-14,1.737535699016e-14,0.02623
230.5805641,27.6712777,0.742,5.412,8.701563093753e-15,6.897580501145e-15,1.050554568636e-14,-0.51968
230.5474984,27.6833570,2.415,2.368,3.430047512443e-15,1.981805229412e-15,4.878289795474e-15,-0.68832
230.5605804,27.8287383,2.623,4.378,2.011077445635e-14,1.539343229992e-14,2.457983544666e-14,0.09494
230.6572733,27.7753269,1.605,2.211,3.174014568747e-15,1.697728722818e-15,4.57648612238e-15,-0.41849
230.6242365,27.8164568,1.077,5.176,1.713472639396e-14,1.468989300808e-14,1.944373570285e-14,-0.43598
230.7837974,27.5129809,13.428,2.977,2.390269725127e-14,1.408551802307e-14,3.329304259999e-14,0.53841
230.5778286,27.6738110,0.924,2.474,4.665618991994e-15,2.81881147433e-15,6.512426509659e-15,0.99938
230.7397929,27.7839906,1.248,4.778,1.106389157181e-14,7.92912229313e-15,1.401426265762e-14,0.42598
230.4779391,27.7107756,1.761,4.833,1.482042001002e-14,1.201655676488e-14,1.762428325515e-14,-0.09244
230.6859031,27.7817662,1.257,2.611,5.651866927452e-15,3.93612161019e-15,7.367612244714e-15,0.22986
230.6176965,27.6713272,0.715,11.669,7.574059214941e-14,6.930946279381e-14,8.2171721505e-14,0.10868
230.7439835,27.7432514,1.126,4.833,1.329914709013e-14,1.102856100157e-14,1.540754845808e-14,-0.18364
230.5705909,27.5276426,1.943,9.651,1.154908752139e-13,1.029636636358e-13,1.280180867919e-13,0.03748
230.6605120,27.6584680,0.770,4.062,8.918655563049e-15,7.278443045706e-15,1.045635479806e-14,0.18364
230.6517788,27.7451704,1.642,2.105,2.754240579549e-15,1.377120289775e-15,4.131360869324e-15,-0.59963
230.6450624,27.6093146,1.863,2.205,6.176161986086e-15,3.679415651285e-15,8.672908320886e-15,0.47595
230.6480257,27.5576580,2.760,2.857,9.412649268524e-15,6.85778732421e-15,1.196751121284e-14,-0.06871
230.7607354,27.7011404,1.900,4.125,1.073686784713e-14,8.052650885348e-15,1.342108480891e-14,0.05122
230.6645066,27.6486138,0.879,3.697,7.941031552832e-15,5.652937715575e-15,1.022912539009e-14,0.51343
230.8540201,27.5185014,10.998,5.636,5.852521166205e-14,4.34984681272e-14,7.35519551969e-14,0.05621
230.5320753,27.6845534,1.545,2.211,2.25114118933e-15,1.066330037051e-15,3.43595234161e-15,0.45097
230.6335312,27.6853879,1.476,2.703,8.871055740516e-16,2.851410773737e-16,1.457387728799e-15,-0.99938
230.6770228,27.7276070,0.776,3.636,9.170725997536e-15,7.313363770187e-15,1.102808822489e-14,0.54966
230.6270848,27.6580954,0.742,4.062,7.378828403053e-15,5.810827367404e-15,8.854594083663e-15,-0.21237
230.5324044,27.6326594,1.813,3.576,4.750006660578e-15,3.073533721551e-15,6.426479599606e-15,-0.25484
230.7026482,27.7066131,0.798,5.937,2.219137736919e-14,1.84790127862e-14,2.590374195217e-14,-0.13367
230.6881903,27.6138677,1.471,3.515,1.382503840486e-14,9.972158849407e-15,1.745127798646e-14,0.99938
230.7155329,27.7543738,3.001,2.154,1.317801879054e-15,1.882574112935e-16,2.447346346815e-15,-0.99938
230.6942391,27.5573794,1.850,4.258,1.176501030995e-14,9.288166034172e-15,1.424185458573e-14,-0.01749
230.7365964,27.8264729,2.697,3.937,9.015920166248e-15,6.326961520174e-15,1.170487881232e-14,-0.20987
230.6496080,27.6158108,0.728,15.475,1.05112299272e-13,9.815433102509e-14,1.120702675188e-13,-0.34728
230.7209474,27.7836822,1.160,3.636,1.150640772831e-14,9.20512618265e-15,1.380768927398e-14,0.17989
230.7410034,27.9161929,9.940,2.053,1.755288816023e-14,9.001481107809e-15,2.565422115726e-14,-0.93067
230.7345695,27.8953822,12.585,2.611,1.880752744391e-14,1.128451646635e-14,2.633053842148e-14,0.08245
230.6107858,27.6952695,0.837,2.158,2.831405561669e-15,1.66191196011e-15,4.000899163228e-15,-0.99938
230.4958858,27.6350364,1.289,7.077,3.036133796282e-14,2.627231194785e-14,3.445036397779e-14,-0.04122
230.7631069,27.7411916,1.031,10.170,6.38037391732e-14,5.739824660256e-14,7.020923174384e-14,-0.14491
230.6345856,27.5584701,1.534,4.053,7.754913095362e-15,5.948974429319e-15,9.560851761405e-15,-0.32230
230.6700581,27.6448898,1.728,2.421,2.456383625404e-15,1.313879613588e-15,3.541762436628e-15,-0.99938
230.4524652,27.6350545,5.613,3.029,9.766819257492e-15,6.104262035932e-15,1.322590107785e-14,0.10119
230.6476318,27.5819575,1.037,5.143,1.705274093747e-14,1.454827233318e-14,1.955720954176e-14,-0.15365
230.7068421,27.7203280,0.953,2.667,1.068544561775e-15,2.289738346661e-16,1.869952983106e-15,0.99938
230.7156844,27.5720520,1.200,7.717,3.94942343777e-14,3.549950447026e-14,4.323929366592e-14,-0.16615
230.7520070,27.7679442,2.918,2.051,3.512765425706e-15,1.756382712853e-15,5.26914813856e-15,0.35478
230.5397301,27.7644391,1.046,3.795,9.213837438127e-15,6.465850833773e-15,1.196182404248e-14,0.20737
230.7247781,27.6693674,1.037,3.412,7.075545822699e-15,5.513412329376e-15,8.545789110533e-15,-0.41099
230.5725094,27.6833774,1.086,2.432,5.838114067322e-15,3.619630721739e-15,7.939835131558e-15,0.99938
230.7093120,27.6689992,1.467,2.368,7.006908602118e-15,4.396491671917e-15,9.479935167571e-15,-0.22611
