RAICRS,DEICRS,r0,S/N,F90b,b_F90b,B_F90b,HRhs
207.0143156,26.5779168,1.516,2.743,2.957938213405e-15,1.797962443442e-15,4.05991519487e-15,0.08745
207.4576975,26.5631739,0.741,13.837,5.799142090828e-14,5.223447088247e-14,6.374837093409e-14,-0.33854
207.2581741,26.5032905,2.932,3.179,5.216546959809e-15,3.091287087294e-15,7.341806832324e-15,-0.99938
207.2095463,26.4180023,1.061,5.086,1.595595565053e-14,1.284259845043e-14,1.887472802563e-14,-0.32979
207.1351544,26.4989122,0.884,5.375,7.717870782331e-15,6.192245162568e-15,9.153753718579e-15,0.29731
207.2949527,26.6325432,0.904,2.909,3.923096135207e-15,2.802211525148e-15,4.98170937804e-15,-0.43098
206.9711514,26.5005311,2.549,4.541,1.952553098556e-14,1.537635565113e-14,2.343063718267e-14,-0.38976
207.2855601,26.4967855,1.074,3.622,1.433052296925e-14,1.185101062574e-14,1.665506579129e-14,0.99938
207.3999961,26.6212589,0.999,2.170,4.27819269562e-16,3.720167561409e-17,8.1843686351e-16,-0.99938
207.1799040,26.5075833,0.831,4.909,8.186844534215e-15,6.321487551735e-15,1.005220151669e-14,-0.21986
207.3684857,26.7480962,1.802,2.051,3.188771419222e-15,1.67030883864e-15,4.707233999804e-15,0.19363
207.0586597,26.6730154,1.188,2.462,4.200475982142e-15,2.927604472402e-15,5.409703916396e-15,0.99938
207.1753169,26.5998957,0.750,8.519,1.003310839678e-15,6.79662181717e-16,1.31077706474e-15,-0.22486
207.1250078,26.6032470,0.752,5.871,5.057869663816e-15,4.371396101463e-15,5.698578322011e-15,-0.29232
207.1684300,26.6237050,0.715,10.305,9.244997764847e-15,8.123200922291e-15,1.03667946074e-14,-0.45846
207.1252647,26.6558549,0.787,4.098,5.768409148496e-15,4.406423655101e-15,7.130394641891e-15,0.04497
207.2160235,26.6792974,2.311,2.324,3.585480215519e-15,1.711251921043e-15,5.378220323279e-15,-0.99938
207.4576712,26.6392447,0.956,7.101,2.145374179499e-14,1.837163755501e-14,2.434321451997e-14,-0.30856
207.3449817,26.7104458,0.962,3.349,7.291324058112e-15,5.624735701972e-15,8.957912414252e-15,
207.0367269,26.5407988,1.666,4.057,1.265475598021e-14,1.05456299835e-14,1.462327357713e-14,0.38476
207.1955038,26.5408278,1.426,2.270,1.625804573121e-15,5.244530881034e-16,2.674710749327e-15,0.99938
207.3774246,26.7367096,0.846,5.548,1.321179089785e-14,1.103402316744e-14,1.538955862827e-14,-0.24859
207.1469558,26.5336700,0.742,5.873,9.753834329838e-15,7.943844454198e-15,1.146326921239e-14,-0.19738
207.1175659,26.3782992,2.033,3.550,3.857753294481e-15,2.104229069717e-15,5.523601308007e-15,-0.99938
207.2511333,26.7131729,0.988,3.650,5.381890037508e-15,4.44318828678e-15,6.258011671521e-15,-0.17489
207.1029257,26.6447358,0.736,5.419,1.201349417714e-14,9.968444488707e-15,1.405854386558e-14,0.99938
207.3284397,26.5945075,0.743,5.455,5.282013386233e-15,3.713915662195e-15,6.767579651111e-15,-0.31980
207.0356487,26.6039544,0.919,3.526,1.814244612218e-14,1.411079142836e-14,2.195011999967e-14,0.61587
207.2325797,26.6887606,0.838,3.212,4.791417975361e-15,4.029146933826e-15,5.553689016896e-15,-0.16490
207.4319168,26.5496990,0.878,3.576,6.126504525238e-15,4.045804875157e-15,8.091609750314e-15,0.99938
207.2657585,26.6042506,0.730,7.086,7.600223610313e-15,6.180401617178e-15,8.936526662676e-15,0.99938
207.2922525,26.4975725,1.036,3.892,5.52457256467e-15,3.61954754237e-15,7.42959758697e-15,-0.20737
207.2725185,26.6212425,0.732,8.875,7.209348140267e-15,5.306881269919e-15,9.011685175334e-15,-0.05996
207.3822857,26.7481787,0.834,7.707,3.389952124821e-14,2.991256547543e-14,3.788647702098e-14,-0.46221
207.4530035,26.5511273,1.458,3.048,5.022910211899e-15,3.377474108001e-15,6.668346315797e-15,-0.19863
207.2706695,26.6544687,0.731,6.987,1.166449770696e-14,9.829601063627e-15,1.339145925362e-14,0.25734
207.2331946,26.7362090,2.875,2.596,3.683099844266e-15,2.022094032146e-15,5.344105656385e-15,-0.13367
206.9838583,26.5372687,4.420,4.941,1.842670840697e-14,1.25915840781e-14,2.426183273585e-14,0.38976
207.1972268,26.5410666,0.780,2.947,5.485576428474e-15,3.061717076357e-15,7.90943578059e-15,0.10618
207.2119646,26.6528503,0.853,3.100,8.084093306728e-15,5.92074439366e-15,1.02474422198e-14,0.61836
207.1304600,26.4878946,1.232,3.514,9.700977279764e-15,7.403377397714e-15,1.199857716181e-14,-0.44472
207.3492631,26.6336445,0.841,3.946,5.016840491028e-15,3.728732797386e-15,6.30494818467e-15,-0.18988
207.2657271,26.6350726,0.998,4.000,3.677450816651e-15,2.574215571656e-15,4.719395214703e-15,-0.20112
207.1882928,26.4220124,0.738,3.730,1.021193003587e-14,5.993958934096e-15,1.442990113764e-14,0.99938
207.4131068,26.6310580,0.760,8.863,2.738427023084e-14,2.478698628058e-14,2.99815541811e-14,-0.00375
207.0863199,26.7763492,1.057,3.550,1.082233620931e-14,8.602369807402e-15,1.29035547111e-14,-0.14491
207.4322836,26.6116771,1.722,2.143,4.725850879684e-16,4.29622807244e-17,9.022078952124e-16,-0.99938
207.2662359,26.6371466,0.891,3.543,5.874992486641e-15,4.051718956304e-15,7.59697304307e-15,0.99938
207.4823289,26.5648054,0.740,6.819,3.151063217929e-14,2.625362765948e-14,3.676763669909e-14,0.10618
207.2410842,26.8289564,1.263,10.295,1.608371982023e-14,1.24190747979e-14,1.954477345244e-14,-0.11618
207.2621084,26.4743547,0.763,10.446,2.679502067819e-14,2.393890207279e-14,2.94831323068e-14,-0.08495
207.3724503,26.5066982,1.873,2.298,1.247542477078e-14,7.697602518143e-15,1.725324702342e-14,0.99938
207.2120377,26.6363132,0.756,7.294,2.616605833011e-15,2.060577093496e-15,3.139926999613e-15,0.58963
207.3450028,26.4560002,9.217,2.432,1.648150469679e-14,9.198979365652e-15,2.376403002793e-14,-0.11743
207.3818908,26.5826674,0.802,3.179,5.338603749291e-15,3.80173297298e-15,6.794586590007e-15,0.02124
207.3122907,26.7834570,1.265,3.950,1.061697010414e-14,7.415026739398e-15,1.365039013389e-14,0.99938
207.1630243,26.5348901,2.499,2.324,1.127646809458e-15,2.16855155665e-16,1.995067432118e-15,-0.69706
207.1911048,26.5149675,0.993,3.405,5.000413778286e-15,3.928896540082e-15,6.012402281035e-15,0.67708
207.2462886,26.7097663,0.897,4.000,3.499487764661e-15,2.881931100309e-15,4.075873984723e-15,-0.08620
207.2329287,26.5444364,0.766,3.850,4.30958084108e-15,2.305124635926e-15,6.213814235975e-15,0.60712
207.3117731,26.4609253,1.817,4.278,6.867040141528e-15,4.380698021319e-15,9.353382261736e-15,0.04622
207.2414089,26.7028140,1.115,2.591,2.939462919585e-15,1.796338450857e-15,4.082587388313e-15,0.49094
207.2337180,26.4346614,0.722,8.433,2.545407172854e-14,2.030265245015e-14,3.060549100694e-14,-0.47345
207.1393676,26.6232656,0.728,6.386,9.398632050662e-15,8.105154824705e-15,1.069210927662e-14,-0.00125
207.4580036,26.5798475,0.953,3.842,8.759997237522e-15,7.048273639385e-15,1.047172083566e-14,-0.28357
207.2010798,26.3719678,0.736,19.297,1.954114551358e-13,1.848374069933e-13,2.059855032783e-13,-0.65584
207.0378403,26.7109808,1.969,2.750,8.841099356436e-15,5.73895923137e-15,1.19432394815e-14,-0.38851
207.2080352,26.7867532,1.416,4.129,1.962807483135e-14,1.548437014474e-14,2.355368979763e-14,0.80949
207.1195817,26.5438792,0.954,3.812,6.692611538288e-15,4.425759243062e-15,8.851518486123e-15,0.15740
207.4525315,26.7947796,5.434,3.812,2.467718619018e-14,1.778209004881e-14,3.157228233156e-14,0.03873
207.0230280,26.7341861,2.146,3.053,6.947385162446e-15,4.441770841564e-15,9.339107923288e-15,-0.34229
207.3828202,26.5630598,0.831,2.944,1.934969870835e-15,8.930630173086e-16,2.927262112289e-15,-0.43098
207.0948416,26.6361395,1.192,3.050,3.633366343944e-15,1.770101552178e-15,5.49663113571e-15,-0.99938
207.0023747,26.6134082,1.864,2.600,8.803023597739e-15,5.755823121598e-15,1.168093515854e-14,-0.01124
207.0223358,26.5581278,2.915,2.833,6.433947054317e-15,3.509425665991e-15,9.212242373226e-15,-0.10119
207.0753769,26.6066560,0.788,2.971,6.460021155569e-15,3.768345674082e-15,9.017112862981e-15,
207.2738376,26.6770762,0.883,2.857,2.42584961656e-15,1.890272428488e-15,2.961426804631e-15,-0.23111
