name,period,mass
Gl 686 b,15.53209,0.02234
HAT-P-11 c,3407,1.59519
HAT-P-13 c,446.27,14.28
HAT-P-17 c,5584,3.4
HAT-P-44 c,872.2,4
HATS-59 c,1422,12.7
HD 100655 b,157.57001,1.61
HD 100777 b,383.70001,1.03
HD 10180 c,5.75979,0.04122
HD 10180 d,16.3579,0.03697
HD 10180 e,49.748,0.0805
HD 10180 f,122.76,0.0752
HD 10180 g,604.67,0.0732
HD 10180 h,2222,0.203
HD 101930 b,70.46,0.25
HD 102117 b,20.8133,0.17
HD 102195 b,4.11434,0.488
HD 102272 b,127.58,4.94
HD 102329 b,778.1,5.9
HD 102329 c,1123,1.52
HD 102365 b,122.1,0.05
HD 102843 b,3090.942,0.35837
HD 102956 b,6.495,0.96
HD 103197 b,47.84,0.09
HD 103720 b,4.5557,0.62
HD 103774 b,5.8881,0.367
HD 103891 b,1919,1.44
HD 103949 b,120.878,0.03524
HD 104067 b,55.828,0.203
HD 10442 b,1053.2,1.53
HD 104985 b,199.505,8.3
HD 105779 b,2412,0.64
HD 106252 b,1600,7.56
HD 106270 b,2890,11
HD 10647 b,1003,0.93
HD 106515 A b,3630,9.61
HD 10697 b,1076.4,6.38
HD 107148 b,77.181,0.203
HD 107148 c,18.3267,0.0626
HD 108147 b,10.901,0.4
HD 108341 b,1129,3.5
HD 108863 b,443.4,2.6
HD 108874 b,397.5,1.71
HD 108874 c,1743.2,1.139
HD 109246 b,68.27,0.77
HD 109271 b,7.8543,0.054
HD 109271 c,30.93,0.076
HD 109286 b,520.1,2.99
HD 109749 b,5.24,0.28
HD 10975 b,283.8,0.45
HD 110014 b,936.4,13.67
HD 110113 c,6.744,0.03304
HD 111232 b,1143,6.8
HD 111591 b,1056.4,4.4
HD 111998 b,825.9,4.51
HD 112640 b,613.2,5
HD 113337 b,324,2.83
HD 113538 b,663.2,0.36
HD 113538 c,1818,0.93
HD 113996 b,610.2,6.3
HD 114386 b,937.70001,1.14
HD 114613 b,4000,0.357
HD 114729 b,1135,0.84
HD 114762 b,83.9151,10.69
HD 114783 b,501,1
HD 114783 c,4340,0.659
HD 11506 b,1627.5,4.21
HD 11506 c,223.6,0.36
HD 115954 b,3700,8.29
HD 116029 b,670,1.4
HD 116029 c,907,1.27
HD 117207 b,2628,1.9
HD 11755 b,433.70001,5.63
HD 117618 b,25.827,0.178
HD 118203 b,6.1335,2.13
HD 11964 b,2110,0.61
HD 11964 c,37.9196,0.0766
HD 11977 b,711,6.54
HD 120084 b,2082,4.5
HD 121504 b,63.33,1.22
HD 124330 b,270.66,0.75
HD 12484 b,58.83,2.98
HD 125390 b,1756.2,22.16
HD 125595 b,9.6737,0.02
HD 125612 b,559.40485,3.23
HD 125612 c,4.15514,0.055
HD 125612 d,3008,7.2
HD 12648 b,133.60001,1.96
HD 126525 b,960.41,0.237
HD 12661 b,262.709,2.176
HD 12661 c,1708,1.812
HD 126614 b,1253.5,0.356
HD 128311 b,460.1,1.83
HD 128311 c,928.3,3.21
HD 128356 b,298.2,0.89
HD 129445 b,1840,1.6
HD 130322 b,10.721,1.09
HD 131496 b,896,1.8
HD 131664 b,1951,18.15
HD 13167 b,2613,3.31
HD 13189 b,471.60001,10.95
HD 132406 b,974,5.38
HD 132563 b,1544,1.49
HD 133131 A b,649,1.42
HD 133131 A c,3568,0.42
HD 133131 B b,5769,2.5
HD 134060 b,3.2696,0.0318
HD 134060 c,1291.5646,0.0922
HD 134987 b,264.6,1.63
HD 134987 c,5960,0.935
HD 136352 b,11.5824,0.0151
HD 136352 c,27.59221,0.03536
HD 136352 d,107.63,0.03304
HD 136418 b,464.3,2
HD 136925 b,4540,0.84
HD 137388 b,330,0.2
HD 137496 c,479.9,7.66
HD 13808 b,14.1815,0.03524
HD 13808 c,53.753,0.03134
HD 13908 b,19.382,0.865
HD 13908 c,931,5.13
HD 13931 b,4460,1.92
HD 139357 b,1125.7,9.76
HD 14067 b,2850,9
HD 141004 b,15.5083,0.0429
HD 141399 b,94.44,0.451
HD 141399 c,202.08,1.36
HD 141399 d,1074.8,1.263
HD 141399 e,5000,0.66
HD 141937 b,653.22,9.316
HD 142 b,350.3,1.31
HD 142 c,6005,5.3
HD 142022 A b,1928,4.44
HD 142245 b,1299,1.9
HD 142415 b,386.3,1.62
HD 143105 b,2.1974,1.21
HD 143361 b,1086,3
HD 145377 b,103.95,5.76
HD 145457 b,176.3,2.23
HD 145675 c,25000,5.8
HD 145934 b,2790,2.04
HD 1461 b,5.7727,0.024
HD 1461 c,13.5052,0.01759
HD 147018 b,44.236,2.12
HD 147018 c,1008,6.56
HD 147379 b,86.78,0.08983
HD 147513 b,528.4,1.21
