name,period,mass
Kepler-407 c,3000,12.6
Kepler-424 c,223.3,6.97
Kepler-432 c,406.2,2.43
Kepler-454 c,523.9,4.46
Kepler-48 e,982,2.067
Kepler-56 d,1002,5.61
Kepler-65 e,258.8,0.82
Kepler-68 d,634.6,0.77
Kepler-88 d,1403,3.05046
Kepler-93 c,3650,8.5
Kepler-94 c,820.3,9.836
Kepler-97 c,789,1.08
L 98-59 e,12.796,0.00963
LSPM J2116+0234 b,14.4399,0.04185
mu Leo b,357.8,2.4
NGC 2682 Sand 364 b,121.71,1.54
NGC 2682 Sand 978 b,511.21,2.18
NGC 2682 YBP 1194 b,6.96,0.33
NGC 2682 YBP 1514 b,5.118,0.4
NGC 2682 YBP 401 b,4.087,0.42
nu Oph b,530.32,24
nu Oph c,3186,27
ome Ser b,277.02,1.7
omi CrB b,187.83,1.5
omi UMa b,1630,4.1
pi Men d,124.64,0.0421
Pr0201 b,4.4264,0.54
Pr0211 b,2.1461,1.88
Pr0211 c,4850,7.79
Proxima Cen b,11.186,0.004
psi 1 Dra B b,3117,1.53
rho CrB b,39.8458,1.0449
rho CrB c,102.557,0.0885
Ross 128 b,9.8658,0.0044
Ross 508 b,10.77,0.01259
TAP 26 b,10.79,1.66
tau Boo b,3.3128,3.87
tau Cet e,162.87,0.01237
tau Cet f,636.13,0.01237
tau Cet g,20,0.00551
tau Cet h,49.41,0.00576
tau Gem b,305.5,20.6
Teegarden's Star b,4.91,0.0033
Teegarden's Star c,11.409,0.00349
TOI-1062 c,7.972,0.03077
TOI-1272 c,8.689,0.08401
TOI-1444 c,16.066,0.03713
TOI-431 c,4.8494,0.0089
TOI-500 c,6.6356,0.01583
TOI-500 d,26.233,0.10421
TOI-500 e,61.3,0.04735
TYC 0434-04538-1 b,193.2,6.1
TYC 1422-614-1 b,198.4,2.5
TYC 1422-614-1 c,559.3,10
TYC 2187-512-1 b,691.9,0.33
TYC 3318-01333-1 b,562,3.42
TYC 3667-1280-1 b,26.468,5.4
TYC 4282-00605-1 b,101.54,10.78
ups And b,4.617136,0.672
ups And c,241.52,1.98
ups And d,1319,3.95
ups Leo b,385.2,0.51
V830 Tau b,4.93,0.77
WASP-107 c,1088,0.36
WASP-148 c,34.527,0.408
WASP-41 c,421,3.18
WASP-47 c,588.5,1.25287
WASP-53 c,2840,16.35
WASP-8 c,4323,9.45
WASP-94 B b,2.00839,0.618
Wolf 1061 b,4.8876,0.00428
Wolf 1061 c,17.8719,0.01073
Wolf 1061 d,217.21,0.02423
xi Aql b,136.75,2.8
XO-2 S b,18.157,0.259
XO-2 S c,120.8,1.37
YZ Cet b,2.02087,0.0022
YZ Cet c,3.06008,0.00308
YZ Cet d,4.6568,0.00381
