# Star  v_mag   B-V
#====================
  290  23.453   1.371
  291  23.458   1.522
  292  23.481   1.549
  293  23.495   1.388
  294  23.503   1.894
  295  23.506   1.196
  296  23.521   1.458
  297  23.527   1.399
  298  23.528   1.485
  299  23.546   1.528
  300  23.548   1.463
  301  23.555   1.936
  302  23.590   1.536
  303  23.604   1.503
  304  23.618   1.359
  305  23.628   1.332
  306  23.633   1.259
  307  23.688   0.412
  308  23.721   1.296
  309  23.831   1.678
  310  23.848   1.361
  311  23.952   1.467
  312  23.978   1.585
  313  17.141   0.587
  314  17.183   0.632
  315  17.200   0.669
  316  17.225   0.591
  317  17.226   0.590
  318  17.306   0.558
  319  17.309   0.604
  320  17.343   0.557
  321  17.351   0.553
  322  17.364   0.550
  323  17.460   0.549
  324  17.468   0.540
  325  17.484   0.528
  326  17.531   0.548
  327  17.546   0.545
  328  17.593   0.524
  329  17.626   0.546
  330  17.641   0.533
  331  17.657   0.549
  332  17.673   0.542
  333  17.685   0.559
  334  17.706   0.548
  335  17.707   0.545
  336  17.712   0.583
  337  17.717   0.531
  338  17.719   0.543
  339  17.777   0.543
  340  17.785   0.548
  341  17.850   0.542
  342  17.928   0.545
  343  17.941   0.548
  344  17.946   0.554
  345  17.951   0.564
  346  17.964   0.528
  347  17.990   0.574
  348  18.002   0.548
  349  18.033   0.564
  350  18.037   0.558
  351  18.070   0.561
  352  18.080   0.587
  353  18.106   0.568
  354  18.106   0.544
  355  18.113   0.547
  356  18.132   0.551
  357  18.144   0.561
  358  18.151   0.578
  359  18.157   0.628
  360  18.230   0.585
  361  18.273   0.582
  362  18.316   0.568
  363  18.329   0.548
  364  18.360   0.601
  365  18.392   0.578
  366  18.404   0.591
  367  18.427   0.601
  368  18.433   0.603
  369  18.453   0.589
  370  18.465   0.592
  371  18.467   0.590
  372  18.472   0.606
  373  18.481   0.609
  374  18.495   0.614
  375  18.506   0.620
  376  18.509   0.598
  377  18.518   0.598
  378  18.580   0.614
  379  18.592   0.628
  380  18.602   0.602
  381  18.620   0.619
  382  18.679   0.644
  383  18.717   0.603
  384  18.720   0.613
  385  18.733   0.675
  386  18.738   0.683
  387  18.778   0.652
  388  18.791   0.625
  389  18.802   0.652
  390  18.806   0.640
  391  18.816   0.622
  392  18.822   0.636
  393  18.823   0.645
  394  18.831   0.656
  395  18.842   0.674
  396  18.844   0.688
  397  18.866   0.636
  398  18.868   0.687
  399  18.896   0.639
  400  18.899   0.660
  401  18.904   0.646
  402  18.918   0.671
  403  18.941   0.684
  404  18.944   0.655
  405  18.952   0.689
  406  18.976   0.696
  407  18.993   0.838
  408  19.023   0.704
  409  19.061   0.663
  410  19.102   0.693
  411  19.105   0.704
  412  19.127   0.690
  413  19.144   0.687
  414  19.161   0.703
  415  19.193   0.733
  416  19.202   0.684
  417  19.217   0.726
  418  19.317   0.738
  419  19.339   0.722
  420  19.368   0.735
  421  19.371   0.712
  422  19.430   0.665
  423  19.482   0.753
  424  19.503   0.708
  425  19.505   0.766
  426  19.513   0.803
  427  19.517   0.770
  428  19.519   0.770
  429  19.537   0.757
  430  19.563   0.783
  431  19.600   0.753
  432  19.600   0.730
  433  19.637   0.754
  434  19.688   0.794
  435  19.704   0.782
  436  19.708   0.703
  437  19.713   0.749
  438  19.723   0.802
  439  19.758   0.793
  440  19.763   0.797
  441  19.764   0.759
  442  19.765   1.065
  443  19.818   0.833
  444  19.820   0.830
  445  19.832   0.830
  446  19.833   0.806
  447  19.839   0.795
  448  19.845   0.819
  449  19.850   0.825
  450  19.878   0.827
  451  19.885   0.848
  452  19.937   0.821
  453  19.938   0.841
  454  19.944   0.835
  455  19.982   0.889
  456  20.017   0.866
  457  20.029   0.849
  458  20.036   0.855
  459  20.042   0.852
  460  20.101   0.868
  461  20.128   0.876
  462  20.178   0.870
  463  20.185   0.914
  464  20.193   0.934
  465  20.198   0.864
  466  20.203   0.897
  467  20.214   0.875
  468  20.217   0.861
  469  20.245   0.869
  470  20.247   0.920
  471  20.296   0.910
  472  20.334   0.942
  473  20.344   0.947
  474  20.360   0.925
  475  20.379   0.941
  476  20.390   0.934
  477  20.399   0.929
  478  20.403   0.979
  479  20.414   0.959
  480  20.447   0.926
  481  20.454   0.963
  482  20.465   1.009
  483  20.489   0.963
  484  20.523   0.983
  485  20.525   0.974
  486  20.535   0.956
  487  20.555   0.964
  488  20.558   0.974
  489  20.598   0.984
  490  20.604   0.944
  491  20.608   1.002
  492  20.616   0.996
  493  20.624   0.994
  494  20.632   1.011
  495  20.657   1.054
  496  20.689   0.996
  497  20.704   1.041
  498  20.712   1.010
  499  20.720   0.969
