ra,dec,z,zErr,dered_u,dered_g,dered_r,dered_i,dered_z,modelMagErr_u,modelMagErr_g,modelMagErr_r,modelMagErr_i,modelMagErr_z
21.374019,-0.70375529,0.01800456,1.4809E-05,17.46353,16.15973,15.56109,15.23851,14.98674,0.0170385,0.003818452,0.005238392,0.00522112,0.008994132
20.691699,-0.42641476,0.01728673,1.110669E-05,17.65359,16.10131,15.43252,15.51172,15.02885,0.02727049,0.003954627,0.003494621,0.004444933,0.00913113
27.125591,-0.21273848,0.01847302,7.220278E-06,18.87066,17.72455,17.40816,17.27071,17.18453,0.04920113,0.01065301,0.012069,0.01606869,0.07554442
25.628727,-0.81945147,0.01730886,9.736685E-06,16.59282,15.46634,15.01961,14.81002,14.64462,0.01151348,0.003549974,0.009932125,0.003501945,0.007856417
29.645934,-0.48554434,0.0222896,1.151538E-05,17.58993,15.87799,15.16189,14.81889,14.56939,0.02044584,0.003261109,0.00285836,0.002938296,0.005345069
29.147713,-0.53406809,0.01531536,1.783849E-05,19.09989,17.9929,17.54229,17.47543,17.97993,0.10689,0.02153532,0.07042724,0.0572642,0.1335398
29.22848,-0.64028308,0.01922152,8.597511E-06,16.84518,15.08012,14.318,13.94996,13.68014,0.01143443,0.002414894,0.002152734,0.002145199,0.003233151
28.998978,-0.18556728,0.01213528,6.594777E-06,17.75476,16.89134,16.58898,16.4774,16.37275,0.01756829,0.004395287,0.004629483,0.006133272,0.01729872
30.922571,1.1975917,0.0161619,5.427457E-05,18.9951,17.61567,17.26542,17.11172,17.16453,0.07237394,0.0222264,0.02719372,0.0452018,0.0521251
12.998433,-0.48673846,0.005422444,4.559524E-06,15.5335,14.62543,14.24537,14.06225,13.90521,0.008402276,0.002535195,0.002672749,0.003009009,0.006481688
15.676881,-0.74963806,0.01849658,4.916346E-06,17.50795,16.53253,16.19766,16.04519,15.93392,0.02044354,0.004855212,0.005692339,0.007231173,0.01839951
15.889994,-0.60698123,0.01762953,9.588674E-06,18.63214,17.54928,17.16287,17.00587,16.91058,0.04010949,0.007740428,0.009208781,0.01016677,0.03349923
