#star       V          vr        MV
#====     ===        ======   ======
247       8.02         -9       1.13
248       9.72        -35       0.02
249       9.00         47       1.43
250       8.69          1       0.74
251       9.30         11       1.69
252       8.68         -1       0.88
253       9.60         -2       1.57
254       7.70        -17       0.94
255       9.62          0       1.32
256       8.92         23       1.39
257       8.69          2       0.91
258       9.07         -5       1.72
259       9.30         -3       1.61
260       7.37         16       1.06
261       9.32         27       1.12
262       7.03         17       1.19
263       9.63         -3       1.39
264       7.50         14       0.66
265       8.73         -2       0.88
266       6.80        -13       1.84
267       8.70        -19       0.84
268       8.71         -3       0.67
269       8.71        -13       1.38
270       7.83         -1       1.78
271       6.70         37       0.89
272       9.99         52       1.47
273       7.11        -10      -0.25
274       9.28         12       0.78
275       7.47         28       0.90
276       8.61          8      -0.03
277       9.09         11       0.62
278       6.43          4       0.67
279       8.90         31       1.27
280       7.31         -9       1.06
281       7.43         14       0.90
282       9.09         22       1.68
283       8.28         -2       0.67
284       8.40         -3       1.44
285       9.61         14       0.56
286       9.40          8       0.86
287       6.38          7       0.33
288       8.93         16       0.83
289       9.25         26       0.80
290       8.66         46       1.22
291       7.97          9       1.70
292       5.93         -3       0.96
293       8.33          2      -0.12
294       9.33        -21       0.84
295       9.40          8       1.40
296       8.20          3       0.91
297       7.40         37       0.48
298      10.10        -18       1.29
299       9.78          3       1.79
300       5.81          3       1.32
301       7.32          8       0.70
302       7.61         -2       0.26
303       8.97        -14       1.13
304       8.92          8       0.63
305       8.55          0       0.70
306       5.51          9       0.62
307       8.92          2       0.95
308       8.38        -16       0.85
309       9.45         34       1.41
310       9.65        -22       0.79
311       7.04          0       0.61
312       9.19         28       0.86
313       6.39         38       0.96
314       9.41          4       1.00
315       6.12        -10       1.23
316       8.26         19       1.22
317       9.33          0       1.10
318       8.29          6       0.43
319       8.33         15       0.32
320       9.09         -3       1.06
321       8.00        -29       1.22
322       9.33         13       1.04
323       9.50         -1       1.24
324       8.20         -5       1.01
325       9.59        -12       1.38
326       9.08         -4       1.29
327       9.39         27       0.93
328       9.01          8       1.03
329       9.41         87       0.90
330       5.94         27       0.99
331       6.56         27       0.97
332       9.63         -1       1.34
333       8.20          5       1.21
334       8.70         18       0.20
335       7.90         26       0.61
336       9.28         26       0.88
337       9.11         20       1.20
338       9.44         11       0.62
339       7.21         17      -1.08
340      10.09          9       0.63
341      10.71          8       0.77
342       9.60          2       0.86
343       9.83        -23      -1.70
344      10.69          0       0.54
345       9.51          5       0.19
346      10.66         -6       1.69
347       9.82         41       0.81
348       9.39         14       0.05
349      10.41         54      -0.25
350      10.72          5       0.96
351      10.94         26       1.31
352      10.81         30       1.41
353      10.73          1       0.66
354      10.07        -16       1.53
355       9.57          1       1.23
356      10.71         22       1.14
357      10.22         58       1.29
358      10.15         15       0.72
359       9.74         18       1.50
360       9.92        -11      -0.31
361      10.32         18       1.62
362      10.40        -50       1.46
363      10.96         -7       2.05
364      10.46          6       1.64
365       9.92         20       1.15
366      10.47         37       0.80
367      10.96          0       2.15
368      10.55          7       1.17
369      10.00         21       1.53
370       9.41        -14       0.65
371      10.25         13       0.46
372      10.54         11       1.19
373      10.58         39       1.89
374      10.87        -32       1.82
375      10.02         20       2.12
376      10.60          9       1.32
377      10.95         54       0.16
378      10.35          6      -0.96
379      10.37        -23       1.32
380      10.96         19       1.26
381      10.85         15       2.15
382      10.73         70       1.86
383      10.55        -37       1.56
384      10.32        -45       0.50
385      10.42          8       1.09
386      10.41         10       1.48
387      10.47          8       0.27
388      10.01         11       1.63
389      10.79        -24       1.74
390      10.84        -76       1.38
391      10.96         21       1.67
392      10.87         33       1.09
393       9.84         31       0.99
394      10.08        -29       0.93
395      10.51        -23       1.95
396      10.66        118       1.38
397      11.00        -18       0.02
398       9.75        -16       1.24
399      10.73         -5       1.81
400      10.45        -73       1.31
401       9.91         60       0.34
402      10.23          0       1.64
403      10.49        -20       1.26
404       9.76          8       1.87
405       9.79         46       0.78
406      10.73         89      -0.01
407      10.11         17       1.36
408      10.74         29       1.30
409      10.51         -5       0.73
410      10.56         24       1.54
411      10.97         20       1.53
412      10.23         46       1.82
413      10.06         24       1.27
414       9.94         24       0.60
415      10.70        -16       0.31
416      10.66         -5       1.50
417      10.71        -27       0.35
418      10.65         15       1.83
419      10.43         45       1.35
420      10.56         41       1.71
421      10.11          6       1.55
422      10.34        -20       1.56
423      10.51         19       1.12
424      10.18         17       1.03
425      10.84         11       0.75
426      10.58         34       1.53
427       9.62         70       0.97
428      10.58        -34       1.50
429      10.50         49       1.48
430       9.90        -17       1.68
431      10.22        -28       1.57
432      10.59         23       1.53
433      10.84         82       0.37
434      10.16         24       1.46
435      10.42        -33       1.13
436      10.46         76      -2.10
437       9.48         67       1.12
438      10.18         56       1.50
439      10.83        -31       1.41
440       9.73          5       0.94
441      10.43          6       0.31
